E,build,35642652605,2,"AMD EPYC 7763 64-Core Processor",1,toolchain,23.831,17.8316,4.06,4.39
E,build,35642652605,2,"AMD EPYC 7763 64-Core Processor",2,install,45.169,60.8243,4.96,12.27
E,build,35642652605,2,"AMD EPYC 7763 64-Core Processor",3,build,64.7668,23.432,6.13,3.82
E,build,35642652605,2,"AMD EPYC 7763 64-Core Processor",4,deploy,59.5004,92.1236,5.88,15.67
E,lint,35642652605,2,"AMD EPYC 7763 64-Core Processor",1,toolchain,24.1132,17.8979,4.08,4.39
E,lint,35642652605,2,"AMD EPYC 7763 64-Core Processor",2,install,45.3849,62.9727,4.96,12.70
E,lint,35642652605,2,"AMD EPYC 7763 64-Core Processor",3,lint,46.0326,50.209,4.97,10.11
E,test,35642652605,2,"AMD EPYC 9V74 80-Core Processor",1,toolchain,25.943,17.5556,4.16,4.22
E,test,35642652605,2,"AMD EPYC 9V74 80-Core Processor",2,install,59.9045,57.4136,5.78,9.94
E,test,35642652605,2,"AMD EPYC 9V74 80-Core Processor",3,test,54.244,14.6959,5.40,2.72
